diseases,glob_symp
36,"[1101, 1028, 1108, 772, 832, 892, 920, 767, 839, 905, 945, 755, 650, 382, 245, 472, 89, 465, 463, 219]"
37,"[829, 1043, 792, 36, 685, 582, 157]"
38,"[688, 1000, 749, 515, 396, 465, 190, 75]"
39,"[864, 1038, 832, 545, 245, 581, 9, 543, 73, 607, 331, 251, 398, 267, 575, 155, 412, 542, 664, 359, 118]"
40,"[1101, 925, 1090, 1123, 1109, 839, 1053, 791, 517, 543, 331, 87, 412, 542, 71, 32, 406]"
41,"[1101, 1028, 832, 892, 767, 945, 783, 419, 605, 424, 656, 39, 331, 542, 208, 482]"
42,"[979, 1028, 832, 772, 694, 923, 1080, 825, 936, 861, 256, 394, 190, 607, 331, 388, 357, 272]"
43,"[812, 832, 966, 1024, 705, 864, 267, 517, 648, 301, 608, 607, 331, 272]"
44,"[1076, 1014, 839, 485, 40, 270, 310, 329]"
45,"[771, 895, 1028, 832, 1014, 1076, 767, 45, 465, 505, 73, 338, 139, 378, 138, 504, 289, 542, 339]"
46,"[1073, 1074, 695, 839, 832, 1076, 767, 793, 958, 45, 289, 265, 472, 463, 28, 607, 331, 400, 504, 270, 59, 388, 339]"
47,"[1045, 1028, 109, 392, 95, 285, 270]"
48,"[835, 767, 992, 887, 547, 582, 496, 254, 270, 169, 409]"
49,"[977, 889, 296, 447, 401, 527]"
50,"[1121, 832, 843, 543, 81, 578, 18, 572, 56, 209, 146]"
51,"[832, 822, 1028, 119, 245, 54, 248, 680, 607, 570, 542, 644, 497, 435, 388]"
52,"[1101, 1028, 1103, 892, 767, 857, 945, 289, 472, 682, 515, 149, 245, 667, 39, 255, 412, 477, 257, 388, 489, 118]"
53,"[1028, 1113, 832, 837, 694, 1144, 904, 1026, 173, 19, 303, 323, 387, 592, 561, 190, 39, 495, 144, 384, 175, 464, 238]"
54,"[956, 997, 832, 802, 931, 219, 270, 178, 626, 611, 479]"
55,"[794, 767, 1038, 959, 945, 864, 493, 607, 277, 331, 579, 577, 649, 141, 542, 169, 272, 482, 163]"
56,"[735, 1028, 832, 830, 1087, 1078, 638, 19, 563, 417, 133, 508]"
57,"[767, 832, 517, 576, 196, 464, 272, 678, 588, 113, 412, 25, 405, 355]"
58,"[779, 1139, 1059, 832, 1138, 1084, 754, 576, 464, 14, 521, 25, 73, 58, 540]"
59,"[779, 1028, 1139, 1059, 832, 1138, 1084, 576, 464, 14, 521, 25, 73, 58, 540]"
60,"[1137, 1048, 913, 832, 767, 929, 73, 464, 576, 678, 113]"
61,"[956, 879, 832, 945, 111, 517, 670, 251, 87, 411, 626, 73]"
62,"[1118, 837, 854, 1116, 841, 904, 5, 157, 229, 670, 73, 277, 607, 619, 331, 562, 664, 559, 580, 373, 272, 439]"
63,"[1026, 210, 234, 630, 205, 349, 269, 144, 442, 684, 184, 509, 664, 215, 603]"
64,"[1076, 832, 265, 248, 161, 464]"
65,"[772, 795, 925, 470, 565, 219, 489]"
66,"[956, 1054, 841, 1040, 821, 705, 576, 32, 118, 160, 407]"
67,"[1147, 721, 945, 956, 245, 14, 657, 357, 681, 289, 219, 542, 300, 477, 309, 489]"
68,"[979, 805, 1101, 925, 841, 864, 372, 454, 39, 74, 41, 21]"
69,"[796, 962, 713, 904, 705, 289, 515, 200, 245, 472, 258, 73, 607, 464, 331, 59, 388, 405]"
70,"[702, 705, 812, 835, 901, 576, 392, 190, 607, 331, 641, 508, 542, 322]"
71,"[1126, 898, 796, 766, 758, 92, 576, 200, 172, 464, 631, 607, 331, 366, 87, 239, 257, 507]"
72,"[898, 705, 956, 881, 766, 945, 1089, 554, 200, 466, 631, 464, 114, 542, 231, 528, 264, 535, 456]"
73,"[756, 876, 881, 1089, 766, 289, 466, 200, 258, 190, 631, 502, 552, 678, 160, 87, 72, 529]"
74,"[756, 1054, 705, 1040, 32, 403, 159, 251]"
75,"[832, 1149, 992, 78, 198, 166, 165, 583, 316]"
76,"[1028, 819, 839, 749, 1112, 929, 517, 47, 190, 575, 464, 251, 542, 463, 482]"
77,"[1047, 1028, 839, 1147, 832, 892, 945, 289, 599, 186, 164, 607, 331, 388, 519, 412, 477]"
78,"[829, 1054, 969, 1044, 841, 517, 200, 466, 631, 464, 576, 87, 118]"
79,"[829, 1054, 1098, 803, 1039, 766, 952, 1125, 1075, 698, 608, 301, 550, 481, 538, 190, 59, 272]"
80,"[832, 964, 650, 97, 230, 89]"
81,"[857, 895, 1028, 767, 1056, 1122, 463, 28, 607, 464, 519, 289, 508, 79]"
82,"[1106, 705, 1069, 1020, 713, 767, 945, 1117, 547, 200, 245, 396, 515, 28, 258, 464, 508, 477, 73, 163]"
83,"[1071, 705, 962, 812, 772, 767, 1068, 945, 245, 200, 142, 464, 289, 542, 366]"
84,"[1106, 1018, 1028, 812, 1014, 1076, 705, 289, 439, 28, 464, 337, 577, 498, 251, 324, 118]"
85,"[1076, 1106, 705, 1028, 440, 464, 498, 289, 90, 72, 542]"
86,"[772, 832, 845, 817, 1026, 731, 476, 106, 514, 525, 385, 170, 684, 222, 664, 271]"
87,"[759, 743, 757, 816, 551, 185, 270, 506, 458, 59, 539]"
88,"[1014, 832, 743, 214, 33, 574, 463, 123, 270, 59]"
89,"[1058, 1054, 1034, 1044, 841, 517, 631, 464, 114, 87, 542, 535, 146]"
90,"[1028, 725, 796, 1054, 917, 832, 823, 841, 767, 839, 877, 756, 650, 289, 200, 245, 631, 39, 464, 474, 87, 489]"
91,"[864, 1071, 752, 705, 1028, 722, 706, 767, 1068, 945, 289, 245, 200, 638, 465, 258, 73, 464, 640, 381, 412, 559, 542, 89, 477, 399, 388, 463, 405, 118]"
92,"[925, 725, 832, 770, 700, 864, 650, 245, 515, 542, 463]"
93,"[1101, 1028, 1029, 650, 419, 515, 647, 607, 255, 331, 412, 270, 542, 489]"
94,"[904, 773, 841, 1063, 726, 864, 1038, 251, 517, 339, 245, 608, 299, 631, 366, 87, 201, 411]"
95,"[928, 60, 394, 607, 39, 464, 331, 418, 388, 87, 429, 408, 357, 118]"
96,"[737, 765, 1019, 908, 892, 767, 748, 835, 834, 959, 945, 515, 576, 648, 482, 523, 177, 430, 190, 39, 331, 277, 568, 542, 664, 604]"
97,"[757, 705, 289, 245, 515, 465, 464, 73, 338, 640, 388, 531]"
98,"[839, 472, 248, 54, 331, 186, 412, 612, 388]"
99,"[841, 864, 705, 654, 377, 577, 452, 615, 433]"
100,"[1055, 956, 1028, 864, 111, 323, 190, 159, 357]"
101,"[907, 1047, 1028, 832, 789, 1121, 1026, 365, 592, 608, 53, 614, 49, 599, 601]"
102,"[1028, 875, 946, 694, 767, 492, 136, 377, 615, 362, 619, 8, 520, 180]"
103,"[938, 694, 807, 343, 76, 221, 512, 592, 619, 436, 72, 542]"
104,"[773, 694, 832, 837, 444, 306, 648, 73, 351, 74, 144, 64, 121, 215, 489]"
105,"[1096, 837, 1037, 832, 1114, 992, 1033, 937, 607, 331, 436, 157, 29]"
106,"[1092, 864, 1028, 301, 602, 592, 464, 563, 367, 251, 147]"
107,"[788, 168, 546, 331, 259]"
108,"[956, 1054, 841, 1040, 821, 705, 383, 200, 464, 511]"
109,"[892, 780, 945, 612, 331, 141, 163]"
110,"[762, 1028, 710, 697, 892, 1041, 844, 1109, 696, 803, 916, 945, 918, 667, 245, 472, 647, 607, 65, 331, 270]"
111,"[1153, 1142, 1028, 710, 697, 1109, 696, 916, 918, 419, 472, 245, 667, 607, 331, 412, 270, 477, 489]"
112,"[1028, 1029, 1035, 832, 892, 1056, 419, 667, 647, 14, 287, 159, 645]"
113,"[1028, 918, 108, 499, 53, 160, 623, 397, 664, 205]"
114,"[832, 625, 334, 305, 150]"
115,"[794, 739, 1152, 713, 874, 945, 864, 405, 472, 396, 579, 635, 206]"
116,"[1152, 1107, 960, 1147, 832, 892, 945, 864, 245, 472, 37, 380, 38, 536, 489]"
117,"[796, 1107, 743, 690, 1068, 705, 650, 289, 200, 515, 410, 245, 258, 255, 640, 542, 438, 309, 489]"
118,"[832, 1147, 893, 517, 54, 430, 404, 576]"
119,"[1028, 746, 978, 832, 1082, 1056, 945, 331, 8, 412, 653, 388]"
120,"[986, 1071, 772, 145, 543, 28, 4, 464, 383, 90, 460]"
121,"[757, 245, 26, 219, 270, 542, 515]"
122,"[832, 798, 245, 361, 248, 670, 102, 190, 205, 563, 160, 144, 124, 461, 357, 464]"
123,"[956, 1028, 694, 705, 861, 301, 190, 44, 272]"
124,"[1114, 914, 837, 767, 1033, 705, 5, 245, 73, 190, 607, 578, 562, 477, 17, 664]"
125,"[1149, 1028, 1114, 1078, 57, 73, 190, 384, 383]"
126,"[740, 846, 832, 837, 157, 670, 42, 190, 87, 289, 544, 73, 272, 651, 527]"
127,"[797, 727, 837, 157, 436, 383, 289, 520, 413, 592, 111, 301, 607, 73, 272, 527, 107, 600, 87, 668, 664, 267, 670, 619, 254, 363, 35]"
128,"[734, 856, 832, 933, 1005, 897, 814, 781, 838, 945, 405, 194, 396, 587, 258, 179, 39, 422, 489]"
129,"[734, 832, 1005, 897, 814, 405, 245, 587, 607, 331, 534, 270, 422, 531, 445]"
130,"[841, 832, 122, 347, 576, 631, 383, 66, 171, 398, 91, 393]"
131,"[1106, 1028, 1014, 832, 767, 902, 1088, 1068, 1026, 703, 758, 245, 28, 39, 464, 576, 542, 309, 341, 508]"
132,"[757, 705, 706, 832, 289, 183, 245, 28, 464, 72, 542, 652, 32]"
133,"[848, 796, 812, 705, 289, 32, 464, 183]"
134,"[1028, 962, 1107, 744, 713, 245, 472, 73, 190, 186, 640, 219, 412, 542, 366, 477, 141, 531]"
135,"[757, 956, 832, 405, 650, 97, 686, 89]"
136,"[777, 767, 832, 839, 45, 245, 258, 607, 331, 248, 388]"
137,"[1016, 837, 832, 1114, 1026, 326, 283, 125, 607, 205, 127, 664, 557]"
138,"[705, 1101, 1028, 749, 773, 767, 948, 945, 515, 200, 245, 39, 464, 357, 388, 289, 412, 542, 477, 309]"
139,"[713, 245, 255, 219, 405, 489]"
140,"[757, 245, 219, 542, 626, 270, 489, 331]"
141,"[1054, 1151, 832, 773, 201, 28, 464, 57, 388]"
142,"[1062, 1054, 1121, 773, 841, 717, 714, 466, 523, 464, 418, 542, 622]"
143,"[1028, 756, 1085, 1054, 841, 1040, 970, 200, 607, 331, 464, 314, 87, 532]"
144,"[1062, 796, 1054, 832, 957, 841, 786, 705, 82, 517, 466, 471, 382, 243, 631, 72, 577, 87, 289, 69, 591, 32, 489]"
145,"[1062, 1016, 812, 1054, 767, 841, 1040, 955, 705, 251, 517, 576, 200, 368, 471, 543, 464, 366, 274, 32, 364]"
146,"[907, 1047, 867, 832, 854, 789, 953, 1027, 977, 157, 226, 190, 340, 582]"
147,"[922, 875, 832, 694, 1127, 715, 1097, 301, 218, 190, 490, 668, 117, 593, 272, 55, 21]"
148,"[981, 1028, 991, 245, 465, 73, 39, 59, 412, 542, 489]"
149,"[1107, 689, 892, 864, 839, 245, 37, 247, 598, 496, 477, 169]"
150,"[1020, 1028, 893, 1108, 713, 961, 1109, 767, 1138, 700, 1006, 14, 331, 270, 542, 159, 482, 168, 301, 607, 88, 201, 202, 388, 272, 357, 650, 664, 463, 472, 70, 323, 208]"
151,"[962, 832, 713, 767, 405, 607, 459, 331, 640, 75, 153, 89, 463, 118]"
152,"[1028, 812, 1054, 832, 880, 1106, 63, 426, 19, 471, 190, 330, 464, 398, 279, 272, 6]"
153,"[975, 1047, 1121, 832, 713, 773, 945, 670, 561, 190, 563, 577, 398, 520, 73, 664]"
154,"[1004, 837, 1114, 789, 1033, 1079, 547, 73, 619, 87, 272, 592]"
155,"[1028, 837, 1092, 1105, 1033, 733, 599, 210, 375, 547, 256, 561, 262, 648, 607, 290, 673, 619, 427, 280, 144, 64, 507, 664]"
156,"[794, 784, 1152, 796, 1146, 1121, 973, 894, 860, 1052, 45, 288, 396, 258, 637, 345, 39, 589, 134, 412, 141, 542]"
157,"[832, 1150, 945, 980, 289, 190, 73, 436, 138, 5, 272]"
158,"[962, 1054, 1135, 841, 705, 1064, 245, 515, 219, 151, 532, 357, 535]"
159,"[962, 839, 832, 767, 1112, 809, 186, 272, 619, 467, 115, 684, 599, 520, 664, 482, 31]"
160,"[1106, 706, 1144, 705, 796, 211, 370, 464, 35, 683, 32]"
161,"[757, 1111, 872, 211, 405, 642, 637, 220, 497]"
162,"[704, 405, 103, 450, 220, 270, 206, 536]"
163,"[1031, 945, 832, 1002, 389, 455, 380, 657, 464, 72, 84]"
164,"[1101, 832, 772, 892, 767, 945, 419, 245, 647, 39, 412, 270, 477, 372]"
165,"[1101, 1028, 710, 724, 697, 839, 892, 696, 918, 419, 245, 647, 607, 360, 331, 477, 372]"
166,"[1101, 1028, 1077, 710, 892, 1041, 767, 696, 945, 419, 245, 372, 607, 331, 412]"
167,"[798, 1115, 962, 45, 248, 607, 331, 346, 74, 388, 123, 251, 649, 163, 473, 542]"
168,"[1028, 697, 892, 945, 372, 647, 380, 275, 607, 331, 270, 62]"
169,"[1101, 1028, 988, 892, 767, 866, 945, 419, 245, 372, 607, 331, 400, 112]"
170,"[839, 650, 14, 465, 73, 186, 46, 619, 640, 631, 562, 151, 542, 317, 591, 666, 309, 477, 81, 588]"
171,"[863, 840, 713, 767, 998, 1026, 705, 59, 219, 626, 548]"
172,"[1106, 1028, 772, 832, 694, 1081, 904, 861, 325, 301, 19, 377, 190, 277, 602, 542, 417, 272, 72, 592]"
173,"[737, 995, 892, 767, 780, 835, 834, 945, 864, 648, 396, 515, 177, 607, 39, 464, 331, 341, 577, 123, 588, 473, 542, 207, 73, 272, 412, 482]"
174,"[775, 839, 832, 863, 767, 245, 39, 412, 542, 366, 309]"
175,"[767, 749, 1112, 839, 245, 396, 190, 118, 219, 542, 366, 463]"
176,"[1025, 697, 850, 808, 1041, 892, 696, 745, 945, 607, 39, 331, 388]"
177,"[832, 1047, 676, 73, 190, 577, 664, 592]"
178,"[890, 1028, 934, 924, 767, 3, 588, 371, 348, 36, 123, 542, 357]"
179,"[956, 1101, 893, 1029, 832, 773, 1109, 853, 767, 1079, 419, 208, 605, 424, 656, 39, 331, 219, 542, 482]"
180,"[832, 366, 73, 50, 338, 61, 257, 201, 293, 339]"
181,"[716, 1028, 893, 891, 798, 713, 774, 923, 245, 472, 54, 217, 331, 388]"
182,"[1071, 1028, 962, 812, 796, 1107, 832, 713, 823, 862, 289, 245, 515, 186, 255, 464, 118, 640, 650, 412, 542, 489]"
183,"[1126, 1083, 1054, 832, 789, 898, 1040, 705, 200, 307, 631, 342, 87, 278, 17, 632]"
184,"[841, 796, 1021, 336, 517, 471, 245, 543, 318, 486, 549, 576, 464, 251, 331, 383, 612, 664]"
185,"[1028, 841, 1021, 705, 543, 590, 471, 542, 606, 625, 1, 489]"
186,"[857, 891, 769, 832, 798, 774, 945, 245, 70, 54, 37, 472, 388]"
187,"[1028, 945, 841, 1053, 705, 382, 517, 289, 324, 69, 631, 464, 251, 315, 510, 44, 282]"
188,"[1020, 767, 1101, 1028, 245, 677, 607, 73, 331, 640, 649, 113, 463, 118]"
189,"[1133, 1147, 832, 774, 767, 730, 943, 1134, 773, 731, 405, 472, 39, 357, 388, 518, 479]"
190,"[1028, 772, 832, 694, 301, 190, 277, 335, 272, 592]"
191,"[1071, 925, 839, 945, 1053, 705, 162, 289, 24, 515, 643, 245, 258, 73, 621, 464, 366, 412, 542, 167, 359]"
192,"[832, 301, 380, 190, 277, 576, 272]"
193,"[772, 694, 1008, 1003, 840, 650, 608, 506, 219, 89, 41]"
194,"[773, 1036, 832, 199, 143, 592, 49, 141, 272]"
195,"[772, 1032, 832, 837, 999, 1081, 864, 354, 73, 331, 619, 451, 383, 436, 577, 664, 170]"
196,"[1028, 851, 478, 607, 671, 160]"
197,"[1128, 751, 925, 1107, 705, 836, 801, 945, 942, 918, 372, 376, 234, 287, 664, 463]"
198,"[805, 1133, 1026, 994, 864, 289, 564, 208, 376, 163]"
199,"[864, 376, 234, 463, 80, 296, 664]"
200,"[1028, 904, 699, 1013, 900, 45, 245, 396, 13, 567, 560, 261, 268, 174, 332, 609, 97, 296, 59, 120]"
201,"[1028, 1049, 956, 751, 688, 773, 945, 667, 376, 13, 463, 607, 254, 513, 398, 127, 664]"
202,"[723, 582, 293, 559, 187, 270]"
203,"[757, 958, 713, 500, 26, 270, 59, 463, 266]"
204,"[1020, 1028, 812, 796, 1046, 1054, 832, 843, 841, 786, 901, 826, 517, 200, 28, 464, 446, 631, 289, 528, 251, 535, 529]"
205,"[859, 304, 582, 105, 219, 559, 260]"
206,"[712, 816, 859, 971, 657, 105, 270, 595]"
207,"[1062, 692, 883, 1079, 1040, 956, 466, 464, 510, 529]"
208,"[1054, 841, 1062, 200, 608, 464, 231]"
209,"[1083, 1062, 1054, 772, 903, 990, 841, 926, 200, 464, 190, 542, 489]"
210,"[846, 1028, 832, 773, 945, 627, 547, 607, 473]"
211,"[949, 930, 832, 594, 358, 152, 390]"
212,"[1033, 736, 1028, 833, 878, 904, 945, 600, 648, 335, 582, 237, 495, 66, 615, 664]"
213,"[1149, 832, 537, 362, 620, 558, 524, 376]"
214,"[944, 1101, 1010, 1029, 649, 372, 160, 607]"
215,"[764, 891, 813, 967, 906, 839, 798, 832, 1123, 774, 923, 1134, 1084, 968, 945, 942, 650, 45, 195, 54, 245, 39, 400, 388, 26, 412, 542, 357, 616]"
216,"[829, 1101, 1104, 858, 832, 767, 882, 743, 705, 864, 650, 640, 72, 542]"
217,"[1071, 962, 837, 901, 832, 951, 904, 1068, 869, 705, 816, 289, 405, 245, 396, 670, 463, 73, 607, 331, 582, 219, 542, 5, 118]"
218,"[1140, 857, 852, 1020, 45, 39, 331, 248, 388]"
219,"[832, 1141, 909, 837, 304, 73, 331, 5]"
220,"[974, 896, 768, 1051, 1099, 1015, 1133, 996, 729, 351, 405, 396, 482, 227, 141, 34, 674, 542, 23, 604]"
221,"[907, 884, 702, 896, 832, 950, 1015, 810, 351, 405, 396, 482, 227, 159, 141, 674, 542, 604]"
222,"[702, 896, 1028, 806, 832, 1015, 351, 405, 396, 227, 159, 141, 674, 542, 604]"
223,"[705, 756, 1054, 841, 767, 812, 389, 200, 307, 208, 118, 636, 72, 464, 127, 542]"
224,"[939, 1106, 705, 804, 1028, 808, 927, 1042, 923, 1133, 692, 936, 945, 339, 70, 556, 245, 656, 275, 464, 331, 289, 219, 412, 542, 357, 468]"
225,"[1107, 831, 839, 864, 618, 2, 400, 641, 15]"
226,"[1107, 1152, 839, 864, 128, 598, 496, 132, 542, 206]"
227,"[1101, 1028, 832, 1020, 886, 839, 912, 704, 515, 245, 640, 412, 542, 405, 463]"
228,"[864, 1028, 517, 32, 73, 346, 584, 383, 87, 669, 503, 431, 43, 251]"
229,"[904, 837, 1114, 864, 1033, 911, 921, 705, 543, 649, 398, 577]"
230,"[827, 832, 841, 1072, 1038, 700, 1033, 599, 545, 576, 581, 466, 471, 200, 543, 245, 73, 607, 331, 398, 412, 542, 79, 48, 118]"
231,"[1016, 1114, 832, 837, 843, 732, 828, 921, 885, 864, 543, 81, 578, 18, 487, 56, 209, 281, 146]"
232,"[1016, 702, 1061, 1101, 904, 837, 1114, 873, 693, 864, 578, 18, 572, 487, 56]"
233,"[767, 1101, 751, 289, 245, 339, 465, 73, 607, 331, 640, 219, 650, 542, 313, 415]"
234,"[864, 832, 186, 337, 412, 542]"
235,"[1133, 1106, 705, 1028, 938, 832, 1144, 773, 694, 841, 743, 945, 470, 463, 619, 405, 557]"
236,"[832, 915, 284, 99, 655, 213, 484]"
237,"[1058, 796, 1054, 756, 832, 841, 667, 183, 576, 464, 542]"
238,"[864, 889, 718, 709, 1051, 304, 301, 602, 150, 34, 527, 254, 473, 327, 542]"
239,"[864, 737, 1028, 835, 887, 658, 515, 73, 607, 464, 331, 270, 542, 208]"
240,"[694, 875, 1143, 832, 985, 899, 223, 301, 200, 70, 137, 111, 331, 659, 349, 388, 483, 59, 429, 231, 408, 357, 251, 118]"
241,"[702, 982, 841, 837, 693, 705, 864, 245, 432, 602, 39, 331, 74, 113, 473, 664]"
242,"[1028, 812, 1024, 889, 1023, 32, 607, 73, 331, 495, 123, 327, 79, 201]"
243,"[954, 319, 573, 463, 59, 266]"
244,"[705, 720, 140, 32, 72, 251]"
245,"[742, 1016, 702, 979, 1050, 1145, 841, 660, 607, 475, 331, 464, 582, 388, 562, 412, 613, 251, 163]"
246,"[1083, 1138, 725, 1054, 1062, 1020, 713, 820, 1040, 963, 741, 705, 756, 289, 200, 190, 464, 528, 251, 412, 542, 631]"
247,"[1011, 832, 855, 841, 1115, 45, 289, 245, 465, 258, 464, 558, 144, 32, 457, 477, 417, 311]"
248,"[840, 795, 832, 1036, 767, 472, 76, 470, 519, 141, 531, 118]"
249,"[842, 984, 760, 1131, 728, 1028, 796, 832, 1094, 801, 901, 650, 289, 576, 515, 245, 472, 39, 464, 255, 219, 542, 477, 489, 118]"
250,"[1148, 694, 1110, 1124, 861, 211, 321, 143, 277, 414, 272]"
251,"[1016, 956, 812, 772, 832, 966, 945, 323, 396, 251, 542, 163]"
252,"[829, 1028, 772, 892, 774, 800, 1047, 70, 273, 388, 357]"
253,"[956, 773, 787, 705, 607, 434, 558, 464]"
254,"[841, 956, 705, 756, 288, 576, 464, 160, 469, 118]"
255,"[772, 956, 756, 288, 466, 464, 116, 160, 32, 469, 118]"
256,"[874, 1028, 1054, 772, 841, 992, 1022, 78, 86, 205, 252, 665, 675, 416, 254, 68, 232, 634, 250, 233, 6]"
257,"[1028, 772, 517, 472, 463, 631, 607, 28, 331, 464, 400, 251, 87, 186, 617, 270, 388, 417]"
258,"[819, 832, 864, 778, 818, 372, 576, 647, 464, 251, 542]"
259,"[832, 724, 1028, 419, 472, 667, 679, 647, 607, 331, 412, 542, 388, 463]"
260,"[738, 832, 841, 767, 782, 705, 650, 245, 200, 515, 463, 97, 412]"
261,"[1093, 708, 1140, 976, 1007, 859, 824, 187, 270, 662, 582]"
262,"[938, 1026, 694, 815, 343, 276, 190, 592, 464, 72, 528, 542, 409]"
263,"[1047, 694, 1028, 772, 832, 1144, 986, 1003, 945, 417, 516, 11, 16, 212, 585, 96]"
264,"[1047, 832, 294, 64, 619, 295]"
265,"[1052, 444, 462, 182, 350, 10, 646]"
266,"[832, 837, 464, 547, 100, 670]"
267,"[1106, 938, 772, 972, 832, 947, 992, 841, 910, 1026, 571, 380, 533, 110, 148, 156, 224, 491]"
268,"[977, 1028, 200, 47, 600, 190, 400, 436, 353]"
269,"[832, 245, 253, 380, 307, 118, 631, 607, 420, 388, 228, 363, 398, 306, 532, 357, 664, 393]"
270,"[1028, 977, 1026, 1070, 200, 600, 190, 400, 436, 353]"
271,"[1028, 977, 832, 1060, 1026, 200, 600, 190, 400, 436, 353]"
272,"[977, 1028, 472, 13, 607, 331, 412, 51, 407]"
273,"[1028, 725, 772, 905, 839, 767, 1009, 1026, 650, 245, 200, 472, 302, 219, 477]"
274,"[1017, 1132, 956, 811, 749, 992, 767, 965, 1100, 1122, 362, 537, 166, 628, 296, 542, 376]"
275,"[806, 832, 633, 473, 396, 619]"
276,"[849, 1136, 859, 971, 630, 73, 582, 559]"
277,"[904, 837, 22, 186, 501, 577]"
278,"[774, 1147, 45, 517, 70, 357, 248, 298, 388, 251, 565]"
279,"[832, 767, 839, 892, 470, 657, 190, 97, 412, 542, 653, 189, 293, 489]"
280,"[956, 945, 832, 216, 312, 472, 331]"
281,"[832, 791, 888, 776, 379, 307, 252, 205, 228, 527]"
282,"[713, 1005, 814, 719, 422, 371, 219, 320, 489]"
283,"[1047, 864, 832, 301, 470, 14, 73, 356, 588, 230, 542, 530, 257, 272, 286, 540]"
284,"[1028, 270, 650, 679, 186, 297, 596, 463]"
285,"[919, 767, 1006, 857, 190, 39, 488, 388]"
286,"[773, 1001, 945, 569, 678, 134, 663, 67]"
287,"[1028, 388, 428, 542, 307]"
288,"[832, 767, 1048, 405, 575, 542, 437]"
289,"[1134, 245, 248, 258, 607, 190, 477, 627, 388]"
290,"[1047, 1028, 753, 772, 832, 694, 945, 301, 272, 12, 592]"
291,"[930, 705, 938, 806, 841, 1026, 945, 343, 173, 256, 619, 586, 280, 244, 684]"
